t     T_1  T_2  T_3 s_T s_t
0      49   49  49  0.5 10
300    43   54  54
600    39   50  51
900    35   46  47
1200   33   44  44
1500   31   41  42
1800   30   40  40
2100   28   37  38
2400   27   36  37
2700   27   35  35
