1561	0.5	0.4	0.05	3.99e-03	4.99e-04
1631	0.5	0.5	0.05	4.99e-03	4.99e-04
1604	0.5	13.9	0.05	1.39e-01	5.04e-04
1685	0.5	25.4	0.05	2.53e-01	5.15e-04
1698	0.5	37.2	0.05	3.71e-01	5.32e-04
1713	0.5	56.6	0.05	5.65e-01	5.73e-04
1720	0.5	70.2	0.05	7.01e-01	6.09e-04
1730	0.5	91.8	0.05	9.16e-01	6.77e-04
1708	0.5	99.8	0.05	9.96e-01	7.04e-04
1738	0.5	115.3	0.05	1.15e+00	7.61e-04
1746	0.5	140.8	0.05	1.41e+00	8.61e-04
1753	0.5	169.9	0.05	1.70e+00	9.82e-04
1764	0.5	217.0	0.50	2.17e+00	5.11e-03
1781	0.5	321.0	0.50	3.20e+00	5.24e-03
1793	0.5	413.0	0.50	4.12e+00	5.40e-03
1807	0.5	537.0	0.50	5.36e+00	5.66e-03
1820	0.5	655.0	0.50	6.54e+00	5.96e-03
1840	0.5	916.0	0.50	9.14e+00	6.76e-03
1855	0.5	1191.0	0.50	1.19e+01	7.75e-03
1870	0.5	1481.0	0.50	1.48e+01	8.90e-03
