2489	0.5	3.4	0.05	3.39e-02	4.99e-04
2554	0.5	9.1	0.05	9.08e-02	5.01e-04
2589	0.5	15.0	0.05	1.50e-01	5.05e-04
2621	0.5	23.6	0.05	2.36e-01	5.13e-04
2642	0.5	30.0	0.05	2.99e-01	5.21e-04
2666	0.5	40.0	0.05	3.99e-01	5.37e-04
2683	0.5	50.8	0.05	5.07e-01	5.59e-04
2700	0.5	62.2	0.05	6.21e-01	5.87e-04
2709	0.5	69.6	0.05	6.95e-01	6.08e-04
2720	0.5	75.1	0.05	7.50e-01	6.24e-04
2733	0.5	91.4	0.05	9.12e-01	6.75e-04
2743	0.5	103.1	0.05	1.03e+00	7.16e-04
2758	0.5	121.8	0.05	1.22e+00	7.85e-04
2775	0.5	143.4	0.05	1.43e+00	8.71e-04
2788	0.5	168.5	0.05	1.68e+00	9.76e-04
