819	0.5	0.5	0.05	4.99e-03	4.99e-04
897	0.5	3.2	0.05	3.19e-02	4.99e-04
953	0.5	10.8	0.05	1.08e-01	5.02e-04
976	0.5	17.3	0.05	1.73e-01	5.06e-04
989	0.5	22.8	0.05	2.28e-01	5.12e-04
1004	0.5	31.6	0.05	3.15e-01	5.23e-04
1026	0.5	51.8	0.05	5.17e-01	5.62e-04
1039	0.5	66.1	0.05	6.60e-01	5.98e-04
1043	0.5	71.8	0.05	7.17e-01	6.14e-04
1052	0.5	89.3	0.05	8.91e-01	6.68e-04
1057	0.5	100.7	0.05	1.00e+00	7.07e-04
1063	0.5	118.2	0.05	1.18e+00	7.72e-04
1073	0.5	144.7	0.05	1.44e+00	8.77e-04
1083	0.5	193.4	0.05	1.93e+00	1.08e-03
1082	0.5	222.0	0.50	2.22e+00	5.11e-03
1092	0.5	250.0	0.50	2.50e+00	5.14e-03
1104	0.5	333.0	0.50	3.32e+00	5.26e-03
1113	0.5	434.0	0.50	4.33e+00	5.44e-03
1126	0.5	602.0	0.50	6.01e+00	5.82e-03
1133	0.5	706.0	0.50	7.05e+00	6.10e-03
1135	0.5	828.0	0.50	8.26e+00	6.47e-03
1155	0.5	1206.0	0.50	1.20e+01	7.81e-03
1161	0.5	1908.0	0.50	1.90e+01	1.07e-02
1243	0.5	6150.0	5.00	6.14e+01	5.85e-02
1247	0.5	6730.0	5.00	6.72e+01	6.01e-02
