1536	0.5	0.5	0.05	4.99e-03	4.99e-04
1574	0.5	1.2	0.05	1.20e-02	4.99e-04
1626	0.5	4.4	0.05	4.39e-02	4.99e-04
1653	0.5	8.1	0.05	8.08e-02	5.01e-04
1673	0.5	12.8	0.05	1.28e-01	5.03e-04
1694	0.5	20.0	0.05	2.00e-01	5.09e-04
1703	0.5	24.3	0.05	2.43e-01	5.13e-04
1720	0.5	34.3	0.05	3.42e-01	5.27e-04
1728	0.5	40.4	0.05	4.03e-01	5.38e-04
1740	0.5	49.9	0.05	4.98e-01	5.57e-04
1750	0.5	60.7	0.05	6.06e-01	5.83e-04
1758	0.5	70.7	0.05	7.06e-01	6.11e-04
1767	0.5	84.0	0.05	8.38e-01	6.51e-04
1773	0.5	91.8	0.05	9.16e-01	6.77e-04
1790	0.5	121.2	0.05	1.21e+00	7.83e-04
1798	0.5	136.4	0.05	1.36e+00	8.43e-04
1807	0.5	157.3	0.05	1.57e+00	9.29e-04
1817	0.5	183.6	0.05	1.83e+00	1.04e-03
1824	0.5	200.0	0.50	2.00e+00	5.09e-03
1845	0.5	267.0	0.50	2.66e+00	5.16e-03
1878	0.5	346.0	0.50	3.45e+00	5.28e-03
1910	0.5	550.0	0.50	5.49e+00	5.69e-03
1932	0.5	660.0	0.50	6.59e+00	5.98e-03
1955	0.5	801.0	0.50	7.99e+00	6.39e-03
1974	0.5	915.0	0.50	9.13e+00	6.76e-03
2016	0.5	1184.0	0.50	1.18e+01	7.72e-03
2050	0.5	1412.0	0.50	1.41e+01	8.62e-03
2084	0.5	1670.0	5.00	1.67e+01	5.06e-02
