1590	0.5	0.1	0.05	9.98e-04	4.99e-04
1702	0.5	2.7	0.05	2.69e-02	4.99e-04
1751	0.5	8.7	0.05	8.68e-02	5.01e-04
1775	0.5	17.7	0.05	1.77e-01	5.07e-04
1796	0.5	26.0	0.05	2.59e-01	5.16e-04
1811	0.5	36.2	0.05	3.61e-01	5.31e-04
1821	0.5	46.2	0.05	4.61e-01	5.49e-04
1828	0.5	51.0	0.05	5.09e-01	5.60e-04
1838	0.5	63.7	0.05	6.36e-01	5.91e-04
1845	0.5	72.7	0.05	7.26e-01	6.17e-04
1852	0.5	81.9	0.05	8.17e-01	6.44e-04
1861	0.5	96.1	0.05	9.59e-01	6.91e-04
1866	0.5	105.4	0.05	1.05e+00	7.24e-04
1870	0.5	113.2	0.05	1.13e+00	7.53e-04
1883	0.5	140.1	0.05	1.40e+00	8.58e-04
1893	0.5	164.5	0.05	1.64e+00	9.59e-04
1910	0.5	205.0	0.50	2.05e+00	5.09e-03
1920	0.5	260.0	0.50	2.59e+00	5.16e-03
1940	0.5	326.0	0.50	3.25e+00	5.25e-03
1979	0.5	455.0	0.50	4.54e+00	5.48e-03
2009	0.5	599.0	0.50	5.98e+00	5.81e-03
2044	0.5	750.0	0.50	7.49e+00	6.23e-03
2057	0.5	834.0	0.50	8.32e+00	6.49e-03
2116	0.5	1127.0	0.50	1.12e+01	7.51e-03
2123	0.5	1167.0	0.50	1.16e+01	7.66e-03
2153	0.5	1310.0	5.00	1.31e+01	5.03e-02
2152	0.5	1340.0	5.00	1.34e+01	5.03e-02
2160	0.5	1430.0	5.00	1.43e+01	5.04e-02
